RESUMEN DE RESULTADOS

Configuración,Mejor Fitness,Fitness Promedio Final,Desv. Estándar Final,Tiempo (s),Mutación Rate,Mutación Strength,Cruce,Selección,Elitismo
Baseline (Referencia Estándar),500.00,341.34,208.47,213.7,0.1,0.3,uniform,tournament,2
Alta Mutación (Exploración Agresiva),500.00,386.72,185.99,201.1,0.3,0.8,uniform,tournament,2
Alto Elitismo (Convergencia Rápida),500.00,273.93,208.67,254.0,0.05,0.2,single_point,tournament,10
Mutación Adaptativa (Exploración a Explotación),500.00,458.76,120.74,321.3,0.2,0.6,two_point,tournament,3
Diversidad Máxima (Rango + Blend),500.00,179.84,175.69,91.2,0.15,0.4,blend,rank,2


DETALLE: Baseline (Referencia Estándar)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
33,500.00,322.21,9.20,208.07,0.2196
34,500.00,370.77,9.20,183.81,0.2130
35,500.00,353.89,9.20,189.27,0.2066
36,500.00,342.63,9.20,201.19,0.2004
37,500.00,416.69,9.20,163.06,0.1944
38,500.00,362.37,9.20,184.42,0.1886
39,500.00,409.88,9.20,162.01,0.1829
40,500.00,349.84,9.20,205.03,0.1774
41,500.00,359.33,9.20,190.21,0.1721
42,500.00,372.94,9.20,179.62,0.1669
43,500.00,366.30,9.20,188.06,0.1619
44,500.00,423.92,9.20,149.34,0.1571
45,500.00,388.84,9.20,172.31,0.1524
46,500.00,446.04,9.20,128.80,0.1478
47,500.00,400.17,9.20,162.74,0.1434
48,500.00,453.52,9.20,124.06,0.1391
49,500.00,463.12,18.80,108.59,0.1349
50,500.00,467.53,19.00,105.53,0.1308
51,500.00,472.37,21.60,88.65,0.1269
52,500.00,425.35,9.20,161.85,0.1231
53,500.00,439.05,9.20,146.17,0.1194
54,500.00,428.89,9.20,146.58,0.1158
55,500.00,428.45,9.20,158.61,0.1124
56,500.00,424.80,9.20,162.48,0.1090
57,500.00,467.20,129.60,89.07,0.1057
58,500.00,430.54,9.20,149.34,0.1025
59,500.00,430.85,9.80,156.17,0.0995
60,500.00,459.42,9.20,129.77,0.0965
61,500.00,443.76,9.20,132.78,0.0936
62,500.00,441.83,9.40,130.58,0.0908
63,500.00,462.36,9.20,120.25,0.0881
64,500.00,447.84,9.20,141.09,0.0854
65,500.00,426.08,9.20,157.51,0.0829
66,500.00,399.90,9.20,177.90,0.0804
67,500.00,439.76,11.00,145.36,0.0780
68,500.00,459.79,9.20,110.75,0.0756
69,500.00,449.31,10.80,121.52,0.0734
70,500.00,456.04,14.60,124.30,0.0711
71,500.00,438.37,9.20,149.48,0.0690
72,500.00,401.74,9.20,165.37,0.0669
73,500.00,456.73,9.20,124.45,0.0649
74,500.00,434.18,9.20,146.85,0.0630
75,500.00,418.89,9.20,170.64,0.0611
76,500.00,461.09,13.00,112.19,0.0593
77,500.00,463.78,9.20,112.41,0.0575
78,500.00,468.70,9.20,111.72,0.0558
79,500.00,456.29,9.20,127.62,0.0541
